39,처음에 수학선행할때 무슨문제집으로 공부하셧어요?,처음에 수학선행할때 무슨문제집으로 공부하셧어요?,전 개념원리 썼었는데 걔랑 전 좀 안 맞아서 요즘 은 선행을 바이블이랑 라이트쎈으로 시작해요!
40,물리 진짜 싫어하는데 좋아하는 방법이 있나요? ,물리 진짜 싫어하는데 좋아하는 방법이 있나요? ,공식을 외워서 푸는것보단 공식이 유도되는 과정이나 그 개념이 왜 그런건지 등을 하나하나 이해하다보면 문제들이 풀리기 시작하고 그때쯤이면 자신감도 생기고 재밌어질거에요! 수학을 어느정도 한다면 좀 더 수월할거고요!
41,천체물리학자가 되면 머하고 싶은데,천체물리학자가 되면 머하고 싶은데,"음... 천체..보단 입자...쪽이 더 하고싶은데
ToE도있고 초끈이론도 있고!"
42,꿈이 의사인 중삼입니다 몇개월 후에 고등학교에 진학하자나요 외고를 생각중인데 외고는 문과고 의사가 되려면 의대를 가야하는데 의대는 이과잖아요.. 외고는 공부하는 분위기때문에 가려고하거든요 어떻게 할까요?,꿈이 의사인 중삼입니다 몇개월 후에 고등학교에 진학하자나요 외고를 생각중인데 외고는 문과고 의사가 되려면 의대를 가야하는데 의대는 이과잖아요외고는 공부하는 분위기때문에 가려고하거든요 어떻게 할까요?,음... 자사고나 선지원일반고도 있어요! 상위1~5%하는 학교들이라 분위기도 좋을거에요!
43,저 공부 시간 새주는 앱은 무슨앱이예요??,저 공부 시간 새주는 앱은 무슨앱이예요??,스터디헬퍼입니다!
44,중학교 수학 심화 문제집 추천 부탁드립니다!,중학교 수학 심화 문제집 추천 부탁드립니다!,흠... 수학은 많이 나와있던데 어느게 좋을진... 에이급이나 최상위정도...? (에이급 말곤 잘 안풀어본...)
45,고등수학 문제집 추천해주세요! 기초부터 심화까지 상관없이요!,고등수학 문제집 추천해주세요! 기초부터 심화까지 상관없이요!,"기초: 바이블(문제는 난이도가 높은편이에요. 개념설명 땜에 보는...)+라이트쎈
보통: 전 쎈 써요!
심화: 일품(심화문제집중엔 난이도 젤 낮은것 같네요...!) / 블랙라벨 / 실력정석"
46,사회통합전형은 누구한테 해당되는건가요??,사회통합전형은 누구한테 해당되는건가요??,보통 입시전형 확인하시면 누구에게 해당하는지 알수있어요! 전 정확하겐 잘 모르는... 아는거라곤 차상위나 차차상위(포함 안하는곳도 있습니다)정도?
47,평일에 학교다니면서 어떻게 여섯시간 넘게 하시는건가요?? 존경ㅜㅜㅜ,평일에 학교다니면서 어떻게 여섯시간 넘게 하시는건가요존경,음 학교에서 3시간은 할 수 있더군요! 수업 마지막 5분정도는 거의 자습주길래ㅎ
48,예체능은 언제부터 공부하나요!,예체능은 언제부터 공부하나요!,엇 전 1주전쯤 선생님께서 주신 프린트로...! 거기서 다 나오면 미리 공부할 필요가 없어지길래...
49,물리 좋아하는 방법좀 알려주세요ㅠㅠㅠ 과고는 화생지보단 수물을 좋아하는데ㅠㅠㅠ 안뽑아 줄 것 같고 입학한다하더라도 그 이후가 암담..,물리 좋아하는 방법좀 알려주세요과고는 화생지보단 수물을 좋아하는데안뽑아 줄 것 같고 입학한다하더라도 그 이후가 암담..,"일단 어려운걸 두려워하면 안되요! 전 \""암만 어려워봤자 인간이 만든 공식이고 학문이다. 같은 인간인데 왜 내가 못하겠는가\""라고 생각하고 해요. 그럼 일단 두려움은 사라지고, 수학을 좋아하면 되요... 물리는 수학의 언어를 빌려서 기술하다보니 수학이 재밌으면 물리도 재밌죠!
개념이 덜잡혔는데 문제를 풀면 재미가 없어집니다. 개념이 완벽할 때 문제를 풀면 다 맞을거에요! 그럼 재밌어질거구요!~"
50,중학교과학은 대충 된 사람인데요 물1하이탑 선행하는데 얼마정도 잡아야 될까요 뉴탐스런이랑 병행하려구요..,중학교과학은 대충 된 사람인데요 물1하이탑 선행하는데 얼마정도 잡아야 될까요 뉴탐스런이랑 병행하려구요..,"음 거의 매일매일 꾸준히 한다 하더라도 적어도 2달은 넘게 걸릴거에요!(매일 물리만 하면 몰라도) 아마 첫단원에서 어떻게 풀어야할지도 모르겠고, 무슨공식을 써야 되는지도 모르겠고... 이럴 때가 아마 올거에요.(저와 주변친구들의 경험상) 그것만 빨리 해결하면 물리1 내용이 중학수준에서 약간 심화된것이 절반이라 금방할겁니다!"
51,물1하이탑 질문햇던사람인데 하루 몇시간기준으로 얼마걸리는지 자세히 답변해주시면 감사하겟습니다 ㅠㅠ,물1하이탑 질문햇던사람인데 하루 몇시간기준으로 얼마걸리는지 자세히 답변해주시면 감사하겟습니다,"흠... 전 평일엔 하루 1시간, 방학땐 2시간 정도씩은 한 것 같네요. 하이탑 끝내는데는(거의 뫃푸는 문제 없을정도로) 4달이상 걸렸고 모고 1등급 수준이 나올때까진 7달 넘게 걸렸어요...! 근데 4달이 슬럼프때문에 된거니 아마 좀 더 빨리 끝내실수 있으실거에요!
참고로 전 매일마다 본문이면 10p정도, 문제면 20~30문제씩 으로 했습니다!"
52,혹시 슬럼프같은 건 안 오셨나요..? 진짜 너무 힘들 때 어떻게 극복하세요..? 전 그게 잘 안되는 것 같아서ㅠㅠㅠ,혹시 슬럼프같은 건 안 오셨나요진짜 너무 힘들 때 어떻게 극복하세요전 그게 잘 안되는 것 같아서,"엇 슬럼프 당연히 왔었죠! 얼마전에도 왔었는데...
만약 꿈이 있다면 인터넷등에 그 꿈을 이룬 사람들이 얼마나 노력을 했나 를 보세요. 지금 힘들다는건 암것도 아닌고통이라는걸 느끼게되죠...
만약 아니라면 상위권 학생들을 보세요... 그 애들도 같은 사람입니다. 쟤네는 되고 나는 안되는건 없어요. 좋은 고등학교 간 학생들 후기도 읽어보시고요! 그럼 자극이 될거고 공부 하게될겁니다. 대신 너무 무리하면 다시 슬럼프상태로 돌아가니 조심하시길..."
53,요즘 제가 쉬는거에 너무 푹빠져서 해이해진 것 같아요 ㅜㅜ 어떻게 극복할 수 있을까요 ??,요즘 제가 쉬는거에 너무 푹빠져서 해이해진 것 같아요어떻게 극복할 수 있을까요,"저도 지금 그상태라... 이건 제 친구방법인데, 규칙을 정해보세요! 가령 컴퓨터는 얼마 이상 하지 않기, 계획세운거 다 하기전엔 폰 만지지 않기 등으로요! 그 후에 진짜 본 계획세우고 공부해보라네요!"
54,안녕 오빠! 인스타 오랜만이군 :3,안녕 오빠! 인스타 오랜만이군 :3,ㅇ? ㅎㅇ! 답이 늦어서 ㅈㅅ...!
55,수학 1부터 문제집을 단계별로 푸시나요?아니면 난이도상관없이푸시나요? 보면 계획에 같은 수학1이나 확통등인데 일품도있고 문제집이다양해서요... ,수학 1부터 문제집을 단계별로 푸시나요?아니면 난이도상관없이푸시나요? 보면 계획에 같은 수학1이나 확통등인데 일품도있고 문제집이다양해서요,제 커리큘럼은 라이트쎈+기본정석→쎈→(일품)→실력정석→블랙라벨 입니다! 보통 쎈을 끝내면 그다음 학년것도 시작해요! 그러다보니 수1과 미적2를 같이 공부하기도 하죠...
56,계획은 도대체 어떤시간에. 어떻게 세우시나요? 아침에 하나둘씩 세우시는건가요ㅠㅠ !! 너무 부러워요... 계획적인간이 되고싶어요... 팁을 주세용...,계획은 도대체 어떤시간에. 어떻게 세우시나요? 아침에 하나둘씩 세우시는건가요너무 부러워요계획적인간이 되고싶어요팁을 주세용,전체적인 계획은 시험 끝난 날이나 아니면 평일이라도 당장 계획이 필요한 때에 하루를 거의 다 써서 만들어요! 그담은 매일 밤마다 그 계획에 적힌 내용을 일일계획표에 옮겨서 내일 그대로 행하면 되죠! ㅎ
57,수학과학 어디까지 선행하셨어요?,수학과학 어디까지 선행하셨어요?,"수학은 미적2까지 다했고, 기벡과 대학미적분 조금 나갔습니다!
과학은 물1,화1끝났고 물2 화2 생1 지1(거의안함...) 일반물리 하고있고요!"
58,친해지려면 어떻게해야햐여,친해지려면 어떻게해야햐여,예? 저랑...?은 걍 다가오시면 친해져요ㅎ 첨만나는 사람이라도 다가만 와주면 친해지는 편입니다! 먼저 다가가질 못할 뿐이지...
59,"단계별로 푸신다면 만약한단원을 하셨으면 그 한단원을 단계대로 나가시나요 아니면 1권을 다풀고 그 다음으로 넘어가시나요?^^
항상 친절한 답변 감사드립니다",단계별로 푸신다면 만약한단원을 하셨으면 그 한단원을 단계대로 나가시나요 아니면 1권을 다풀고 그 다음으로 넘어가시나요항상 친절한 답변 감사드립니다,한권 다풀고 해요! 안그럼 봐야할 책이 너무 많아져서...ㅎ
60,블랙라벨 많이어렵나요?ㅠㅠ 푸시는방법이있으면 좀 알려주세요ㅠㅠ,블랙라벨 많이어렵나요푸시는방법이있으면 좀 알려주세요ㅠㅠ,"블랙라벨... 음 어렵긴 어려워요! 블랙라벨을 조금밖에 풀진 못했지만 제가 보통 심화문제를 푸는방법이라면 풀땐 한문제에 암만많아도 15분정도만 투자하고, 그렇게해서 모르는문제나 틀린문제는 나중에 시간날때 한번풀었어요! 너무 안되는건 답지보고... 답지볼땐 푸는 원리를 봐야지 절대 그 과정을 외우진 않고요!(그냥 \'아... 이런방법이 있구나\' 정도?)"
61,학원안다니시면 수학 모르는계념은 어떻게 이해하셨어요??,학원안다니시면 수학 모르는계념은 어떻게 이해하셨어요??,"음... 일단 유도를 몇번해보면서 자연스럽게 이해되고 암기되도록 했고요! 유도가 안되는 개념, 공식이라던지 유도가 힘든 개념, 공식은 ebs강의(어떤 강의던지 그 개념에대한 설명만 있으면 되는?ㅎ)들으면서 저보다 더 잘하시는분들은 어떻게 이 개념을 이해하셨는가... 를 보면서 이해하려고 해요!"
62,과학 인강 추천좀 해주세요,과학 인강 추천좀 해주세요,음... 전 ebs밖에 안봤어요!(그것도 고딩꺼만...) 그쪽으로 추천하자면 물리는 이광조선생님 화학은 양진석선생님 정도?
63,혹시 다항식의 나눗셈에서 일정한 차수의 식을 나눔에 따라서 나머지가 나오던데 규칙성좀 알려주세요 ㅠㅠ,혹시 다항식의 나눗셈에서 일정한 차수의 식을 나눔에 따라서 나머지가 나오던데 규칙성좀 알려주세요,"1. 조립제법 혹은 다항식나눗셈. 수1 실력정석 p10~12를 참조하시면 될겁니다.
2. 나머지정리. A를 B로 나누어 몫이Q이고 나머지가 R이면 A=BQ+R이라고 썼습니다. 만약 x에대한 다항식f(x)를 (x-a)로 나누면 f(x)=(x-a)Q(x)+r이되고 x대신 a를 넣어주면! f(a)=r 즉 a를 f(x)에 대입만하면 나머지가 나온다... 이거죠(단 x-a)로 나눴을때...)
질문자님의 의도를 정확하게 파악하지 못하여 다항식 나눗셈에대한건 거"
64,감사합니다,감사합니다,헛 뭘요!~
65,실력정석이 수학의 정석 실력편인가용??,실력정석이 수학의 정석 실력편인가용??,네!
66,안녕! 나 누구게!,안녕! 나 누구게!,글쎄 누군데?!
67,Hewon Hewon,Hewon Hewon,ㅋㅋㅋㅋ galaxy!
68,"과고결과 언제나오는거죵?
","과고결과 언제나오는거죵?
",음 제 기준으론(대구일과고) 1차 통과자는 11.11에 나오고 최종 합격자즌 11.29쯤 발표나네요!
69,존경스러워요..♡♡♡ 이대로 꾸준히해서 대구일과고 합격 ㄱㄱ!!♥♥,존경스러워요이대로 꾸준히해서 대구일과고 합격,헐 감사합니다!!! 최선을 다해봐야죠 뭐! ㅎㅎ
70,희원님 응원하고있습니다!,희원님 응원하고있습니다!,우오... 감사해요!!!!!
71,"과고 합격하면 공스타 안하시는건가요?
","과고 합격하면 공스타 안하시는건가요?
",아뇨아뇨 계속 할겁니다! 하루 시간 조금내는건 별로 어렵진 않을 것 같네요!
72,어느 대학교 가고 싶으세요?,어느 대학교 가고 싶으세요?,"전 일단 목표는 MIT입니다! 세계 최고의 공대다보니 가서 배울점도 되게 많을것 같고, 엄청 잘하는사람들이랑 여러 연구들도 해보고 싶네요!!"
73,물리공부 어떻게 해 ?,물리공부 어떻게 해 ?,"음... 일단 대부분의 공식들은 노트에 증명해! 차피 물리는 공식들이 쏟아져나와서(특히 하이탑) 외우는것보다 공식을 증명하고 이해하면 문제푸는데 첨엔 버벅거리더라도 나중에 시간이 지나도 풀수있더라고...
그담에 첨 물리시작할땐 감을 잡기위해 ebs 강의를 들었어 (뉴탐스런 이광조선생님이 젤 좋았) 하이탑을 교재로했고 노트정리 했어...!"
74,수학 문제집 추천 !!,수학 문제집 추천,"음 중등수학...? 고등수학...?
중등수학은 쎈에 심화서로 에이급? 정도밖에 모르고...
고등수학은 정석!!!이 최곱니다. 저같은경우엔 기본정석+쎈→실력정석→블랙라벨 요렇게..."
75,과고 방문면접때 많이 떨어서 더듬거렸는데 괜찮겠지? ㅠㅜㅠㅠ,과고 방문면접때 많이 떨어서 더듬거렸는데 괜찮겠지,음... 방문면접...? ㄷㄷ 보통 방문면접은 자소서나 생기부 검증같은거 하지않나? 뭐 수학 과학문제 물어볼수도 있지만... 떨어도 할말 다했으면 거의붙을거고... 신뢰도만 안떨어졌으면 ㄱㅊ지않을까? 싶어!
76,희원닝ㅁ안녕하세요,희원닝ㅁ안녕하세요,엇 네! 안녕하세요!!
77,지리 위도와 천문 위도가 하이탑 14쪽에 사이드 그림에 위치하는 이유가 무엇인가요 ? 이해가 잘 안가요 ㅠㅜㅜ,지리 위도와 천문 위도가 하이탑 14쪽에 사이드 그림에 위치하는 이유가 무엇인가요이해가 잘 안가요,음 하이탑이 원래 좀 너무 깊게까지 다뤄서...?(불필요한 것들도...) 그런거 같아요! 별ㄹ 중요한부분은 아닌것 같아서 전 \'이런게 있구나\' 하고 넘어갔네요.
78,1차 면접 후기좀 써주세요 ㅜ,1차 면접 후기좀 써주세요 ㅜ,"음 일단 일과고 면접관분들은 되게 친절하셨어요! 뭐랄까 긴장 풀어주려고 최대한 애쓰시는? 그런느낌이었습니다! 본면담 전에 모의면담도 한번 해주셨어요! 수학쌤들이 보는 면담방과 과학쌤들이 보는 면담방이 따로있었어요! 생기부쪽에 제가 조금 미흡한 부분이 있었는데 그부분을 못보고 가서 조금 당황했고요, 긴장해서인지 미분정의같은 간단한 것 한두개 완벽한 답변은 못했네요... 수학쌤들과의 면담은 그렇게 끝내고 과학쌤들이랑 할땐 긴장이 풀려서 답변 잘한것 같네요!"
79,중3인데 늦었지만 이제 고등수학선행을 시작하려고 하는데 기본서는 어떤게 좋을까요?,중3인데 늦었지만 이제 고등수학선행을 시작하려고 하는데 기본서는 어떤게 좋을까요?,음 제 생각으론 기본정석!으로 개념잡고 쎈 혹은 라이트쎈으로 유형익히는게 시작으로선 좋은거같아요! 어려운부분은 인강들어도 되고요!(전 ebs 들은...)
80,사회배려자 전형으로 지원하셧나요? 기회균등?,사회배려자 전형으로 지원하셧나요? 기회균등?,네! 일과고는 기회균등전형으로 한것 같습니다!(차차상위...가 기균이었는지 기억이 안나서...ㅎ)
81,"진짜 같은나이지만 정말 열심히 하는것같아요!
계획을 세우고 지키는게 대단해보이고ㅋㅋㅋㅋ
응원합니당","진짜 같은나이지만 정말 열심히 하는것같아요!
계획을 세우고 지키는게 대단해보이고응원합니당",엇엇 감사합니다!! 누군진 모르지만 저도 응원할게요(?)!!ㅎㅎ
82,하루에 얼만큼 계획을 하시나요? 구체적으로 쫌 ,하루에 얼만큼 계획을 하시나요? 구체적으로 쫌 ,"음 수학은 수1, 미적1 연습문제 1단원(실력문제만) / 미적2 쎈 30문제 / 기벡 기본정석 1단원 / 올림피아드 9문제 // 대학미적분 30분 분량 보고, 과학은 물2, 화1/2, 생1 소단원1개(정리, 문풀) / 일반물리 10~20쪽정도에요! 영어는 단어 15개 영영풀이&암기 / 문장 10개 암기 / 영어독서 20쪽정도(쉬운책) / Reading(리딩튜터같은애) 1과 합니다! (최근에 시도하는건데 어떻게 잘 될진...)"
83,과고 1차결과는 서류보고 뽑는건가요?? 면접은 아직 안보신건가요 외고랑 헷갈려서..,과고 1차결과는 서류보고 뽑는건가요면접은 아직 안보신건가요 외고랑 헷갈려서..,"1차는 서류 및 면담(서류 검증)
2차는 면접
이렇게 이루어져 있습니다!"
84,왜 글 다 없어졌어요?,왜 글 다 없어졌어요?,예...? 어떤 글들 말씀이신지...? 조잡해보여서 몇개 삭제했었는것 같긴 한데 엄청 후회중이라죠 ㅠㅠㅠㅠ 그래서 앞으로 다시는 글 안 지우려고요...
85,1차 합격하셨나요? ㅎㅎ,1차 합격하셨나요,네네!!
86,언제부터 과고 목표로 공부하셨나요?,언제부터 과고 목표로 공부하셨나요?,음 중1 2학기때 영재고 가야겠다고 다짐했어요!
